name,latitude,longitude,rating,user_ratings_total,price_level,cuisine,source,place_id
QDOBA Mexican Eats,40.5169739,-74.2341608,4.2,377,1.0,restaurant,google,ChIJ-zPTIlm1w4kRk9873jeFp-E
Campania Coal-Fired Pizza,40.5181079,-74.2355185,4.4,499,2.0,restaurant,google,ChIJxaOvrV61w4kRqFfaL_wcPyE
La Rosa Chicken & Grill Restaurant - Richmond Valley,40.52168,-74.2368561,4.1,203,2.0,restaurant,google,ChIJYefn9Fy1w4kRVMQrjHVqiN0
Mizu Japanese Restaurant,40.51797120000001,-74.2361823,4.0,214,2.0,restaurant,google,ChIJwc2541u1w4kRPBW9CFv81CI
McDonald's,40.51773620000001,-74.23475169999999,3.3,874,1.0,restaurant,google,ChIJOyOxW1m1w4kRX135VQ1AeMQ
W's Bar And Grill,40.5163194,-74.2343482,4.3,113,,restaurant,google,ChIJ-zPTIlm1w4kRVI7vIjaK5DM
Tropical Smoothie Cafe,40.51683800000001,-74.234298,4.2,74,1.0,restaurant,google,ChIJK--76l-1w4kRAOB2TPTvexw
Peking Taste,40.5174861,-74.2357984,4.5,10,,restaurant,google,ChIJcTUsdgC1w4kRLGcHGlXKUhE
Nonna's Pizza Tottenville,40.5168177,-74.2330848,4.2,72,,restaurant,google,ChIJvQMpTiq1w4kRgMLYuOMzoPA
Taco Bell,40.5180116,-74.2341852,3.3,71,1.0,restaurant,google,ChIJd53fGJ5LwokRRu3U0nGZCrM
Starbucks,40.52163700000001,-74.23552099999999,4.1,400,2.0,restaurant,google,ChIJFzeXZlu1w4kRMNIwBoFXfWc
Popeyes Louisiana Kitchen,40.5204992,-74.2356779,2.9,109,2.0,restaurant,google,ChIJD6s0pwS1w4kRO7tHMTSmfPs
Baya Bar - Acai & Smoothie Shop,40.5192715,-74.2297005,4.5,174,2.0,restaurant,google,ChIJjezkd1q1w4kRFR576JgZP9M
Loon Chuan Chinese Restaurant,40.522215,-74.234599,3.8,169,2.0,restaurant,google,ChIJ_6FkRFu1w4kR34JKuwoWBjQ
Serena Bistro and Lounge,40.5219371,-74.2356348,4.5,57,,restaurant,google,ChIJhyiVn1y1w4kREHS26kA4IcE
Palermo Pizza,40.5219753,-74.2345899,4.4,229,2.0,restaurant,google,ChIJ4WK8iwi1w4kRBs-7FdGhEfo
Wendy's,40.52115570000001,-74.2169681,3.8,725,1.0,restaurant,google,ChIJ27bnkrJKwokRpOfDJWFjGpw
Ariana’s Cucina,40.5210567,-74.2175859,5.0,1,,restaurant,google,ChIJp2LcBwBLwokR4tJkxOW_cvY
Yosuki Sushi,40.5217445,-74.2152007,4.5,97,2.0,restaurant,google,ChIJS-qgzPdLwokRo-F3uDo72SY
Domino's Pizza,40.52177,-74.215062,3.4,65,1.0,restaurant,google,ChIJjYtPi7NLwokR0KStPUc2hUI
the Rock House bar and grill,40.5136879,-74.1963332,4.7,91,2.0,restaurant,google,ChIJqVZZKX9LwokRbpA8-DGYt08
Z-Two Restaurant & Lounge,40.5272941,-74.2307968,4.2,1580,2.0,restaurant,google,ChIJ7-_l40W1w4kR_YnkORi-bGk
Aunt Butchie's of Brooklyn,40.5235329,-74.2385178,4.4,613,2.0,restaurant,google,ChIJdxpyK121w4kRSH7euk_tghk
Avocado Sushi,40.5226312,-74.23894560000001,4.2,199,2.0,restaurant,google,ChIJb1NdIF21w4kRGTmTx_3qrH0
Oishi Sushi & Izakaya,40.523943,-74.23439499999999,4.4,233,2.0,restaurant,google,ChIJs7NcuUS1w4kRp5pmNP9cCxM
Dunkin',40.5272903,-74.2318427,3.7,76,1.0,restaurant,google,ChIJ0Wjfq0a1w4kRehgWC2trwQw
Lobster House Joe's,40.5280519,-74.2400102,4.3,595,2.0,restaurant,google,ChIJl3kLPUK1w4kR8B1dskvDkt4
7-Eleven,40.5241205,-74.2343941,3.4,23,1.0,restaurant,google,ChIJ41AkvkS1w4kR19vduq-GQt0
Pronto Pizza Pasta,40.52658499999999,-74.23093399999999,4.3,329,1.0,restaurant,google,ChIJKxTK0EO1w4kRhmq7MtobXrA
Page Plaza Diner,40.522379,-74.234616,4.3,1015,2.0,restaurant,google,ChIJg4tlT1u1w4kRO_C_7MEGJi8
Yaho Sushi,40.523164,-74.234487,4.8,85,2.0,restaurant,google,ChIJmX7bIj-1w4kRBjlmUe3QGYQ
Uncle Sal's Burgers and Wings,40.52328019999999,-74.2344858,4.8,34,,restaurant,google,ChIJmfZUawC1w4kRpkoRWCABPFg
Laila Restaurant And Lounge,40.52328019999999,-74.2344858,4.5,755,2.0,restaurant,google,ChIJC8_ABDG1w4kRzefkwksjFRY
Beans and Leaves Coffee and Tea Cafe,40.5221939,-74.23887530000002,4.3,79,1.0,restaurant,google,ChIJt6_ZBp-1w4kRo1K9JxW54bs
Tutto Apposto Cucina Italiana,40.5236777,-74.234417,4.7,223,,restaurant,google,ChIJy-KpVN-1w4kRzagKeBn_31g
Patrizia's Of Tottenville,40.52223960000001,-74.2390518,4.5,452,2.0,restaurant,google,ChIJObgjtWi1w4kRt5lfENprOpI
Hibachi 4 World,40.5239654,-74.2343941,5.0,1,,restaurant,google,ChIJzYOpkg-1w4kReuQIHS6ec_g
Ho' Brah,40.5228813,-74.2395523,4.5,345,2.0,restaurant,google,ChIJd2O20Za1w4kR1n-5W0WKoZE
Dunkin',40.5274882,-74.2341005,3.0,30,1.0,restaurant,google,ChIJz7uXAE61w4kRj2bIU24cd-U
Crepe N Tea,40.52661299999999,-74.23141369999999,5.0,56,,restaurant,google,ChIJISLZYH21w4kRiA2ejEqJCh4
G's Cheesesteaks,40.5273545,-74.23255999999999,5.0,2,,restaurant,google,ChIJdQ2lMwC1w4kRwmzNOAphAw0
Filoncino Cafe - Tottenville,40.526814,-74.2311759,4.6,92,,restaurant,google,ChIJG-kPTgC1w4kRPkvtYop36II
Valducci's Pizza,40.52915000000001,-74.23499699999999,4.2,38,2.0,restaurant,google,ChIJJz01kda1w4kRl7_X1p7-bJY
Applebee's Grill + Bar,40.5301017,-74.22911069999999,4.1,1113,2.0,restaurant,google,ChIJeUd4fEi1w4kREx4uRbUiGCY
Dunkin',40.5222029,-74.2159096,3.8,85,1.0,restaurant,google,ChIJ9xCIr7JKwokRoSPAJ8Wv22s
IL FORNO PIZZERIA,40.52217,-74.216532,4.4,105,2.0,restaurant,google,ChIJn-IPwrJKwokRMB7jnZmWDbU
Supreme Memorials,40.5217878,-74.2177293,4.9,20,,restaurant,google,ChIJQfxbtLJKwokR_1913fFTryo
Hot Shotz Sports Bar,40.5234042,-74.2163217,4.6,120,1.0,restaurant,google,ChIJ3VjjHrNKwokRgsoqLYnTQMA
"Amici Brick Oven Pizza - Staten Island, NY",40.5235882,-74.2161169,4.5,187,2.0,restaurant,google,ChIJW1YGGrNKwokRtPzrBsMeOmY
Cucumber Sushi & Salad Bar,40.5256243,-74.201889,4.3,197,,restaurant,google,ChIJQbuw4bhKwokRgh9rEB77Z9k
New Island,40.525715,-74.200652,3.9,129,1.0,restaurant,google,ChIJeTIF1rhKwokRtNPaTSH0Saw
Domenico's Pizza & Pasta,40.5257678,-74.20198409999999,4.2,241,1.0,restaurant,google,ChIJwQP44bhKwokRWXS0Y30NbEQ
Breaking Bread,40.52569039999999,-74.20064409999999,4.2,136,,restaurant,google,ChIJbwds9ZZLwokRPR326llEtEA
Starbucks,40.52677,-74.20152999999999,3.5,203,2.0,restaurant,google,ChIJdfbdqFtLwokRmGBgEXJxDyU
Daddy O's BBQ & Sports Bar,40.5308119,-74.23086169999999,4.0,320,,restaurant,google,ChIJC9SNPUm1w4kRajLLFCvIlbI
Killmeyer's,40.538448,-74.237166,4.4,907,2.0,restaurant,google,ChIJVVVZIDy1w4kR7hYgSuVrFwc
Fuel Grill & Juice Bar,40.53205039999999,-74.23951269999999,4.7,49,2.0,restaurant,google,ChIJ-9unI721w4kRVu5Kf5EJsyc
Millie's of Staten Island,40.5308065,-74.2310481,4.3,624,2.0,restaurant,google,ChIJf59_Lka1w4kRTD0lCt3h5Pc
Chipotle Mexican Grill,40.5309216,-74.2309349,2.6,43,,restaurant,google,ChIJh-uOagC1w4kRSMA7SvjKxwk
Artisan Bakers Group,40.5388829,-74.2413701,4.6,80,2.0,restaurant,google,ChIJi8K7Cha1w4kRacAbfHzhtW8
Kuzina,40.5327151,-74.1917466,3.7,159,1.0,restaurant,google,ChIJtyuqnOlKwokRQB2Sq0G-xZc
Ciro Pizza Cafe,40.533306,-74.1927722,4.1,567,2.0,restaurant,google,ChIJtYIQlelKwokRKVK_qO2XY04
Chopsticks House,40.5327151,-74.1917466,3.9,69,1.0,restaurant,google,ChIJx_l-m-lKwokRXWbFoqCvVXY
Dunkin',40.5325562,-74.1917115,3.9,210,1.0,restaurant,google,ChIJlfYHg-lKwokRo6At24Za7iA
Pizza Mia,40.532565,-74.1922744,5.0,7,,restaurant,google,ChIJtUwglKhLwokRQX5HW667aac
Better Gourmet Health Kitchen,40.5330013,-74.1922246,4.6,156,,restaurant,google,ChIJUcDwmelKwokRBaul5amwsD0
Tejanos Taqueria,40.5325912,-74.1919075,4.2,70,2.0,restaurant,google,ChIJESPt02dLwokR4HCfaC9RxAI
Panino Rustico of Huguenot Express,40.5327181,-74.19174129999999,4.1,41,1.0,restaurant,google,ChIJ5dT3p-BLwokRy1iXaE6-9rI
La Fontana Sorellena,40.540069,-74.17681069999999,4.6,162,2.0,restaurant,google,ChIJHS4yAfxKwokRk5z8cYN2eHQ
Mike's Place,40.5291583,-74.16249719999999,4.0,736,2.0,restaurant,google,ChIJkX5Sn1tKwokRfc_kEteiM5M
‘O Sfizio Ristorante,40.5294873,-74.1616851,4.7,255,,restaurant,google,ChIJBfbEmDtLwokRmCrCnmJRGwU
Shell,40.536415,-74.15102399999999,3.2,26,2.0,restaurant,google,ChIJU7kP10tKwokR5UXL1Mqpt9Y
Cucumber Sushi & Salad Bar on Hylan,40.5374442,-74.15076839999999,4.4,137,,restaurant,google,ChIJv6TotUtKwokRkwAZ1IWd1GA
Good Taste,40.5375441,-74.1507416,4.4,94,,restaurant,google,ChIJv6TotUtKwokRRn63t2k7dlM
Hong Kong Kei One,40.53757580000001,-74.1505462,4.5,263,,restaurant,google,ChIJa37ktEtKwokRdcFKL7L2dIE
Trattoria Toscana,40.5373393,-74.1499572,4.5,378,,restaurant,google,ChIJq-438x9LwokRMl2keWYCB2s
Fine Italian Restaurant,40.53753749999999,-74.149942,4.0,1,,restaurant,google,ChIJGTIUSUpKwokRniLkzhPXJno
Andrew’s Diner,40.53819999999999,-74.149075,4.5,1373,2.0,restaurant,google,ChIJW_9gXkpKwokRsLlazpU0MlY
The Loop Pizza Cafe,40.5459776,-74.2301,4.8,6,2.0,restaurant,google,ChIJg_VAcQC1w4kR325dnnlhT3w
Dunkin',40.5485043,-74.2218872,3.9,160,1.0,restaurant,google,ChIJO4HysSu1w4kRADWtqGeHKfE
Red's Hotdog Stand,40.5490916,-74.2235382,4.9,69,1.0,restaurant,google,ChIJS3FY4zi1w4kRok5AROHLN18
QDOBA Mexican Eats,40.5419437,-74.20765229999999,4.1,386,1.0,restaurant,google,ChIJ7wFzidBKwokRW1Nu424O304
Sunset Pizza,40.54277,-74.20781199999999,4.1,146,1.0,restaurant,google,ChIJS8RulQZLwokRjHFUMEU_ZQ8
Misaki Sushi,40.542817,-74.20779809999999,4.4,189,2.0,restaurant,google,ChIJdfkC69BKwokRsjart24mzGY
Starbucks,40.54208999999999,-74.20693,4.1,358,2.0,restaurant,google,ChIJofWYhdBKwokRuH3uPHoNJeo
Dunkin',40.54295809999999,-74.2070311,3.9,112,1.0,restaurant,google,ChIJ6WzuodBKwokRJ8CQbY1Qkcs
Islander Taste Chinese Restaurant,40.542817,-74.20779809999999,4.1,130,1.0,restaurant,google,ChIJ-5JB69BKwokRpZuLSvmT_7Q
Playa Bowls,40.5421456,-74.2074313,4.8,185,2.0,restaurant,google,ChIJ9Vrc-iVLwokRxruZkezTnH8
EatItalian NYC,40.5429849,-74.20719989999999,4.5,432,2.0,restaurant,google,ChIJARQkEkZLwokRMcNtYc0S9mo
Woodrow Diner,40.5428974,-74.2067591,4.0,156,,restaurant,google,ChIJmwHuhzdLwokRJgk3PxMZBcY
Wingstop,40.5427994,-74.20628479999999,2.8,24,2.0,restaurant,google,ChIJ9bfHnKRLwokR_r-ojGbMks0
Ocean Sushi,40.5411672,-74.1782628,4.6,304,2.0,restaurant,google,ChIJlQwTFfxKwokRhj9ExJdD4js
Ambrosino's Arden Heights,40.54120710000001,-74.1781884,3.1,73,1.0,restaurant,google,ChIJR6abFfxKwokRXe0zFA2ebJQ
The Pizza Parlor,40.54045519999999,-74.1770846,4.1,566,2.0,restaurant,google,ChIJlyMdA_xKwokRnpHw3NVjp_o
Privé,40.54210269999999,-74.17710319999999,4.2,132,2.0,restaurant,google,ChIJ7bHDK_xKwokRVZsTHsvAIYg
Annadale Terrace,40.5423763,-74.177249,4.4,1516,2.0,restaurant,google,ChIJlSP8K_xKwokRj4sGCUBFkpQ
Il Sogno Ristorante Italiano,40.5413224,-74.17845919999999,4.4,290,2.0,restaurant,google,ChIJXa71PfxKwokRBFEy2kwMxdk
Mona Lisa Pizzeria,40.541357,-74.176878,4.3,251,2.0,restaurant,google,ChIJX38eIfxKwokRVc22kVXO16k
Staten Island House of Wings II (Annadale),40.5411449,-74.1782401,4.9,295,,restaurant,google,ChIJgdtKx0JLwokRhedrEsA2bcE
Healthy Kitchen,40.5411449,-74.1782401,,0,,restaurant,google,ChIJQ34DM6xLwokRS6pxDcCjNO8
District,40.5403647,-74.1771244,3.8,202,2.0,restaurant,google,ChIJQ8tKBWRLwokRwULSn-fH_k4
The Square on Annadale,40.5414275,-74.1771342,4.0,191,1.0,restaurant,google,ChIJd3NLIfxKwokRFpdHgMXXZ7o
Annadale Bakery,40.54180269999999,-74.1773002,4.7,465,2.0,restaurant,google,ChIJpwhsL_xKwokR9nZAa2nF7Q4
Subway,40.5449942,-74.160139,4.0,81,1.0,restaurant,google,ChIJFfVHj61LwokR1FLMnExxRSI
Kiku,40.54434699999999,-74.165731,3.8,271,2.0,restaurant,google,ChIJg73kXKtLwokRzEL-VwIHpk0
Campania Coal-Fired Pizza,40.542787,-74.16409,4.5,917,2.0,restaurant,google,ChIJrUXGTVNKwokR16HQ8JMcvwM
Dunkin',40.5440367,-74.16474769999999,3.7,373,1.0,restaurant,google,ChIJEYOnpqxLwokRxyO3ByvcraM
Wendy's,40.54408829999999,-74.1633741,3.7,893,1.0,restaurant,google,ChIJs-PJwKxLwokRdAJ5GH1Y4Bg
Empire Szechuan,40.5454465,-74.16191119999999,3.5,143,2.0,restaurant,google,ChIJVwrM31xLwokRGtDhLUUzYXo
Sal & Lloyd's Pizza Place,40.54388269999999,-74.16520229999999,4.7,170,1.0,restaurant,google,ChIJv-CCWKtLwokRaxPalwxMz_c
Domino's Pizza,40.5427488,-74.16411459999999,3.4,260,1.0,restaurant,google,ChIJv3p4S1NKwokRynWvwHzrE5E
Tomo Sushi Japanese Cuisine & Bar,40.54305069999999,-74.16569539999999,4.2,159,2.0,restaurant,google,ChIJ901_V1NKwokRNI-LTgxs4nM
Burger King,40.5432726,-74.1638517,3.5,451,1.0,restaurant,google,ChIJGVCIs6xLwokR0NBCF5vXVZw
China Chalet,40.5452123,-74.15954889999999,4.0,187,2.0,restaurant,google,ChIJmStuha1LwokRaNNHVDLRoAg
Joyce's Tavern,40.545081,-74.16539,4.4,522,2.0,restaurant,google,ChIJyS_QfKtLwokR6vPY0aWPKwo
East Sushi,40.545468,-74.16181399999999,3.4,46,,restaurant,google,ChIJMdmspK1LwokRkYEguoHA0jU
Ali Baba Middle Eastern Cuisine & Café,40.5430012,-74.1654971,4.2,156,1.0,restaurant,google,ChIJC9m2rVRKwokRiKqJJ0xG2Tk
Mike Jr’s Richmond Diner,40.5416625,-74.1631208,4.4,395,1.0,restaurant,google,ChIJz-F3PVNKwokR71FutA6WhkE
Madeleines Farmstand & Cafe,40.5435672,-74.16495379999999,,0,,restaurant,google,ChIJXz6IKQBLwokRPrQo0-pR4vA
Island Smoothies,40.5435793,-74.1649729,4.8,17,1.0,restaurant,google,ChIJQTPGHFNLwokRroTyCvfDd9U
Halal Chicken Gyro,40.5435347,-74.164709,4.3,4,,restaurant,google,ChIJKzrZfU5LwokR5uIBdimk7BE
BOWL ME UP,40.5439381,-74.1651605,4.9,121,2.0,restaurant,google,ChIJ8Yb-6ixLwokRFV-RuGJvuN0
Krave It Cafe,40.5439742,-74.1651986,4.8,92,2.0,restaurant,google,ChIJ942a_2BLwokR2cQbKjDXpe4
Baya Bar Richmond Ave,40.5447817,-74.1658789,3.9,60,2.0,restaurant,google,ChIJyRZXyNNLwokRorQ2IAyc9Ic
DOUGH by Licastri Eltingville,40.5448653,-74.1653819,4.2,118,2.0,restaurant,google,ChIJscFLJV5LwokRQQoZ4InzZnY
Sapori Ristorante,40.54504319999999,-74.16594769999999,4.9,354,2.0,restaurant,google,ChIJYQchsYFLwokRyef6-Xp1JWY
Ohkami Ramen,40.54492090000001,-74.16535139999999,4.8,473,2.0,restaurant,google,ChIJITkmBZFLwokR4iRDlw2wN18
Le Malt Imperiale,40.5445246,-74.1640441,4.3,31,,restaurant,google,ChIJs3n8yPRLwokR7nrLxFxiEB4
Kingdom Pizza,40.5448741,-74.1601481,4.3,196,1.0,restaurant,google,ChIJl-tjma1LwokRuHH4LDw7wYc
Richmond Republic,40.5445801,-74.1628672,4.2,815,2.0,restaurant,google,ChIJ__-P76xLwokRYr5m-jqhasI
Frank And Danny's,40.54555809999999,-74.1616662,4.2,229,1.0,restaurant,google,ChIJoxTfq61LwokR5mFmIAAOWsI
Sofia's Taqueria (Amboy Rd),40.5444622,-74.1608332,4.4,619,2.0,restaurant,google,ChIJeyjKMadLwokRu_w2UwsmMX4
Avocado Sushi,40.5451014,-74.1599568,4.0,208,,restaurant,google,ChIJbTiZmq1LwokRoeJ7536OTvQ
Riva Mediterranean & Turkish Cuisine,40.5453225,-74.15937819999999,4.8,476,2.0,restaurant,google,ChIJBYI5ScNLwokRxyHhpDmsO5M
Original Giuseppes Pizza,40.545628,-74.1589282,4.5,180,,restaurant,google,ChIJ394ldbJLwokRx_Xxs_30cpk
Patrizia's of Brooklyn,40.5472234,-74.15794319999999,4.5,2301,2.0,restaurant,google,ChIJublB87FLwokRIcJ3FSxhM5I
Goodfella's,40.54167059999999,-74.1468653,4.6,1312,2.0,restaurant,google,ChIJDWI8hsROwokRwFYtU_yYA5I
Pacific Kitchen,40.547554,-74.158003,4.4,139,,restaurant,google,ChIJublB87FLwokRsbuC2k0zSD0
Giuliana’s Ristorante,40.539822,-74.1485189,4.7,508,2.0,restaurant,google,ChIJNxTtvEpKwokRSS-9_PbvSfM
Nature's Grill Staten Island,40.5394992,-74.148792,4.4,41,2.0,restaurant,google,ChIJr7SSCQBLwokRFvDtH2yRhHA
Big Al’s Pizza,40.5406803,-74.1477484,3.9,92,1.0,restaurant,google,ChIJUSc3d-VLwokRMOUWkGWzgjg
Uncle Louie G Italian Ice & Ice Cream,40.54025180000001,-74.147435,3.6,8,2.0,restaurant,google,ChIJudSzFzZLwokRc71ghDpiFLM
Island Social,40.54060709999999,-74.14708739999999,4.9,170,2.0,restaurant,google,ChIJgURUsgBLwokRHeklNKDfUOs
Banhmis & Asian Cuisine,40.5415019,-74.1461836,4.6,145,1.0,restaurant,google,ChIJaXkhOtVLwokR1c8NJ3hEU7Q
Dunkin',40.5418284,-74.1459714,3.8,184,1.0,restaurant,google,ChIJcekwlcpLwokReJRyPPEJy-8
Oishii Sushi,40.5422866,-74.1453859,4.9,159,2.0,restaurant,google,ChIJJViQEwBLwokR8ygdhFdHk-A
Basil Indian Cuisine,40.54258209999999,-74.14535149999999,4.7,144,2.0,restaurant,google,ChIJweO5VNBLwokRwfRvpDWB85g
Marina Cafe Restaurant & Tiki Bar,40.5441215,-74.1408558,4.4,1641,3.0,restaurant,google,ChIJ0VbzEMxLwokRXwhbOPUmO14
Cole's Dock Side,40.54267670000001,-74.14244889999999,4.5,900,2.0,restaurant,google,ChIJ98BMg8tLwokRlNyfzaaIXq4
Fiore Di Mare,40.542868,-74.142427,4.5,268,2.0,restaurant,google,ChIJ86r3hMtLwokRZbzOxA5J5Jc
Mansion,40.5447091,-74.1407802,4.5,180,,restaurant,google,ChIJ044wt69LwokRin3tbNEPoZ8
Candy Zone Wholesale Distributor,40.5493519,-74.23017569999999,3.0,2,,restaurant,google,ChIJi74BJLVPwokRiMcu-ULl9vg
The Historic Old Bermuda Inn,40.55363810000001,-74.21751309999999,4.5,930,2.0,restaurant,google,ChIJ2zI4MCtLwokR16h193lZwfY
Big Nose Kate's Saloon,40.55405959999999,-74.21757099999999,4.2,304,2.0,restaurant,google,ChIJA2RnMytLwokR4bdtRVKSiFI
Rossville Pizza,40.5495059,-74.22128,4.4,391,1.0,restaurant,google,ChIJVW_9Xiq1w4kR4OXpsBkvclA
Happy Fortune Chinese Restaurant,40.5516761,-74.2123776,3.4,97,,restaurant,google,ChIJx-qegClLwokRjrR4run8MfA
Pino's Pizzeria,40.55182810000001,-74.2121682,4.3,158,2.0,restaurant,google,ChIJo6qdgClLwokR-wRywRKX-mA
Mamma Mia Pizzeria & Cucina,40.5508271,-74.2106184,4.3,100,2.0,restaurant,google,ChIJYT5jcPJLwokRAihPZ3BRsmQ
Rossville Best Pizza & Pasta,40.5508372,-74.2106081,4.6,89,,restaurant,google,ChIJ6b3-vylLwokRfxwaTijchdg
Genki Sushi,40.5527452,-74.1933304,4.3,362,2.0,restaurant,google,ChIJ52XV6M5LwokR1pdg5gGX61w
Subway,40.55293299999999,-74.192849,2.8,44,1.0,restaurant,google,ChIJ28H8vhhLwokRfVhMbc2myi8
Peking Taste,40.5530978,-74.1923432,4.0,143,,restaurant,google,ChIJ_2V8LxlLwokR1WeqpjgF5-U
Buddy's Café & Playplace,40.5529373,-74.1929158,4.8,131,1.0,restaurant,google,ChIJOcvkwzNLwokRK2p4tRh_zgA
Ambrosino's,40.55358289999999,-74.1931096,4.1,120,1.0,restaurant,google,ChIJPbCxY8tLwokReIMapkU0De4
Chick n' Cha,40.5530978,-74.1923432,3.7,6,,restaurant,google,ChIJIXWxYhRLwokRvV4SWLTvxLY
Arirang Hibachi Steakhouse,40.54955669999999,-74.150093,4.7,2651,2.0,restaurant,google,ChIJWW1zCbdLwokRDLkvEkP8w68
Piccolino Ristorante NY,40.55166610000001,-74.1497515,4.6,442,2.0,restaurant,google,ChIJq5_pJbhLwokRydQxnlbDe4M
Mimmo's Brick Oven Pizza & Trattoria,40.55121630000001,-74.1501177,4.5,467,2.0,restaurant,google,ChIJw26vK7hLwokRPA91FPGvJcY
La Candela Española,40.5516432,-74.14930559999999,4.3,278,2.0,restaurant,google,ChIJjZKYPLhLwokR0nRmz1ON7zU
Lucky Fortune,40.5515377,-74.1500764,3.8,166,2.0,restaurant,google,ChIJTT_OgLdLwokRo4ic9yy4Pyo
Nonna's Pizza Great Kills,40.5511082,-74.15119170000001,4.5,617,1.0,restaurant,google,ChIJiyXC17lLwokRdspxLPbtttY
Village Maria Pizzeria,40.5503418,-74.15081169999999,4.1,293,1.0,restaurant,google,ChIJXQW4cLdLwokR7q-U7rKz6k0
Anthony's Paninoteca,40.5501619,-74.15048929999999,4.8,161,2.0,restaurant,google,ChIJPwr-W95LwokRQxm9PcvNfIE
Da Damaso,40.55065010000001,-74.1504753,4.8,159,,restaurant,google,ChIJhd9WhEpLwokR6GTRhpvxzQI
New Foo Sing,40.550709,-74.150444,4.0,56,2.0,restaurant,google,ChIJkcoJgrdLwokRj4n2fM7_qzs
La Iguana Azul restaurant & lounge,40.55102319999999,-74.15034229999999,4.0,431,2.0,restaurant,google,ChIJ_zqHKrhLwokRq-DW85lWXNc
Café Bella,40.5514269,-74.15053990000001,5.0,1,,restaurant,google,ChIJ_d0U07lLwokRkW11BR4PDCw
Flavors Of Faith,40.5514901,-74.15056179999999,,0,,restaurant,google,ChIJ41gD07lLwokRIRirOUDUsRg
AZ EXOTIC SNACKS,40.5514825,-74.1505512,5.0,3,,restaurant,google,ChIJYxQb07lLwokRv3TUBUz6sOY
